Department,Month,Revenue,Expenses,Profit/Loss,Budget Allocation,Forecasted Growth %,Risk Flag
Tech Innovation,Apr-24,nil,10106274,-942719,10015156.04616024,-2.65,Medium
Space Exploration,Apr-24,4223243,2711961,1511282,,6.9,Medium
Cybersecurity,Oct-24,11618386,4940757,6677629,13484501.26572471,-2.57,High
R&D,Aug-24,8646197,3011004,5635193,7949516.657450846,7.59,Low
Defense Systems,Jan-24,10594498,7181794,3412704,9882731.723627185,6.27,Medium
Tech Innovation,Oct-24,-,1783449,4168674,,-2.73,High
Tech Innovation,May-24,11966628,7487307,4479321,9441903.116224037,6.91,Medium
Defense Systems,Dec-24,3800134,3592953,207181,2735551.091710646,14.63,High
Space Exploration,Feb-24,4134370,2375309,,3397031.284994161,2.67,Low
,Jan-24,3834325,9325528,-5491203,4361253.506163361,13.44,Medium
R&D,Jul-24,,10630886,-1916079,8960156.589171452,-4.01,High
Cybersecurity,Jan-24,5376430,3374845,2001585,4938260.823634306,3.3,High
R&D,May-24,11668001,10586545,1081456,11207984.21287728,8.64,Medium
Medical Research,Feb-24,10746069,4860117,5885952,11321959.01954515,13.98,High
Administration,Jun-24,9021652,4416240,4605412,9166799.952492915,10.5,High
Energy Production,Dec-24,6417181,7257009,-839828,7238705.055290762,-1.33,Low
Defense Systems,Jan-24,3776244,10640213,-6863969,2656226.70405264,12.25,Medium
R&D,-,8354009,4020606,4333403,9637999.594951335,5.19,High
Space Exploration,Mar-24,6192872,4231156,1961716,,1.4,Low
Space Exploration,Nov-24,10596730,3099814,7496916,12487978.2125864,nil,Low
Space Exploration,Oct-24,7918253,5300868,2617385,5673357.432735732,3.58,Medium
Medical Research,Mar-24,7388709,3183664,4205045,5569358.055594272,-2.35,High
Energy Production,Jun-24,4502524,4166213,336311,3427449.127163523,14.9,Medium
Energy Production,Jun-24,-,9414205,-126336,,6.18,Medium
Energy Production,,9522621,10305433,-782812,6824175.110527927,7.38,High
Energy Production,Jul-24,10708372,,1803376,12330342.66795224,4.73,Medium
Medical Research,May-24,5218965,2599901,2619064,4405991.648573918,11.88,Low
R&D,Aug-24,10444019,5054250,5389769,-,-1.89,High
,Jul-24,2774399,1513028,1261371,1974202.769022871,12.16,Low
Administration,May-24,11177843,8859942,2317901,10288563.38331526,7.19,High
Energy Production,,2023553,5601906,-3578353,,6.8,Low
Administration,Jun-24,11918430,8009936,3908494,,-4.51,Low
Tech Innovation,Sep-24,11504731,2242057,9262674,,8.82,Low
Tech Innovation,Aug-24,6747588,2294553,4453035,5142267.054502961,11.66,Low
Cybersecurity,May-24,8274374,9277408,-1003034,8026823.635487801,-1.56,Low
R&D,Sep-24,6729552,2340473,4389079,6094838.44484905,-3.01,Medium
R&D,Aug-24,4138976,2362351,1776625,4101856.796624077,2.7,Medium
Cybersecurity,Feb-24,9168448,5834862,-,6603390.295984348,,Medium
Energy Production,Mar-24,,3462853,6355744,7066872.37917698,3.12,High
Medical Research,May-24,3440511,8588136,-5147625,3908996.704694702,13.13,Medium
Energy Production,Jul-24,6198618,7675662,-1477044,6883214.155612101,0.53,Low
Administration,Oct-24,3225499,5424381,-2198882,3847087.655016181,5.01,Low
Cybersecurity,Dec-24,8843780,2629058,6214722,6329074.801865929,14.55,Medium
Energy Production,Dec-24,10750675,7398155,3352520,11615552.96979821,-2.19,Medium
Defense Systems,Nov-24,3885035,9954153,-,3584612.415768301,11.78,High
Space Exploration,Jan-24,3427850,10885173,-7457323,3131320.380204192,-1.69,Medium
Administration,Nov-24,10617227,2423042,8194185,nil,3.3,High
Medical Research,Nov-24,2643113,3990096,,-,6.95,High
Administration,Jan-24,6013365,4660795,,6265069.47552758,4.11,Low
Tech Innovation,Aug-24,6327969,4778785,1549184,6943236.82083157,11.17,Low
Defense Systems,Apr-24,9614187,9812264,-198077,-,7.1,Low
R&D,Oct-24,6005280,7714674,,5631925.321652401,12.32,High
Energy Production,,6552849,-,,4820391.822869645,2,Low
Administration,May-24,3130598,-,836199,2456624.808104629,0.9,Low
Defense Systems,Jun-24,,3109022,6676192,9859386.217083106,-3.74,High
Defense Systems,Jan-24,9712821,3632864,6079957,7181219.584453167,0.69,Low
-,Dec-24,3051815,7477746,-4425931,3176822.307261711,9.65,Low
,May-24,3585860,6259125,-2673265,3363537.541570436,14.99,High
,Mar-24,2904618,2675728,228890,2860588.866015821,10.97,Low
Administration,Sep-24,8081579,7811429,270150,-,11.67,Medium
Medical Research,Jan-24,9953670,3826064,6127606,9444870.43492726,1.1,Medium
Defense Systems,Apr-24,4460133,5420200,-960067,3990513.480675771,13.72,Low
Space Exploration,Jan-24,2117228,10572238,-8455010,2254720.942208999,5.22,Low
Medical Research,Dec-24,7222855,9364324,-2141469,5805265.207520138,-2.05,
Cybersecurity,May-24,3101255,4872409,-1771154,3441743.31738021,-4.95,
Tech Innovation,nil,7954722,4799214,-,9280962.627703624,1.66,High
Energy Production,Nov-24,7267341,9382833,-2115492,7384487.74401116,12.04,Low
Defense Systems,Jun-24,8354776,10955828,-2601052,6793846.361850293,-0.8,Medium
Tech Innovation,Apr-24,10568941,6988188,3580753,10433736.3872371,5.84,Medium
Administration,Jan-24,9213318,5831732,,8952072.65803404,10.51,Medium
Defense Systems,Jan-24,10444928,7512124,2932804,8392529.472352788,-4.52,High
Tech Innovation,Sep-24,2942878,9188335,-6245457,2409233.128419049,,Medium
R&D,,7835798,4929796,2906002,8942424.223721847,-,Medium
Tech Innovation,Mar-24,7080057,4696097,2383960,5274639.291626964,-1.38,High
Space Exploration,May-24,10535048,9289351,1245697,8742680.758348068,12.82,Low
Cybersecurity,Nov-24,,7313985,-3421562,4669206.524165109,6.89,Medium
,Nov-24,8615156,7261046,1354110,10034725.5438696,2.07,Medium
Tech Innovation,Oct-24,5167758,1637721,3530037,4732879.62220193,8.63,Low
Tech Innovation,Dec-24,9272402,9578375,-305973,9254889.189616868,3.03,Low
R&D,Jan-24,,8669456,3187153,13566106.96107623,2.51,Medium
-,Jan-24,11719790,9077646,2642144,,-1.19,
Energy Production,Oct-24,5388774,,3589549,3997125.962948844,12.95,Low
Defense Systems,Jul-24,2725665,5466440,-,1973673.826305689,2.25,Medium
Defense Systems,May-24,2429292,3611172,-1181880,2138321.228940006,0.39,Low
Defense Systems,,6651718,8967489,-2315771,7585490.307467445,8.52,Low
Energy Production,Apr-24,10679418,9848610,830808,12017232.37737933,8.26,High
R&D,Dec-24,2874377,7384208,-4509831,2995996.938304607,12.9,Medium
R&D,Aug-24,,6513746,2063999,10142323.81906412,-4.53,Medium
R&D,Nov-24,5543951,5093544,450407,3963156.541252551,4.61,Medium
Energy Production,May-24,5326252,4764592,561660,6056806.67888467,11.22,Low
Medical Research,Jun-24,5943810,8451840,-2508030,5783275.597504687,12.05,Low
Space Exploration,Jul-24,10926771,2840960,8085811,11336431.61035523,1.68,High
nil,Jun-24,8217105,9297334,-,8353349.078192458,8.54,-
R&D,Sep-24,3730186,7106700,-3376514,4220848.450720235,11.47,High
Energy Production,Jun-24,5178441,5608204,-429763,4997978.306334721,0.28,High
Defense Systems,May-24,11220248,4284427,6935821,11630388.7776837,-4.75,Medium
Energy Production,Nov-24,6806596,8288425,-1481829,7975587.40720954,9.01,Low
,Oct-24,3985550,6996345,-3010795,4745959.219522062,12.48,High
R&D,Aug-24,3839123,2679517,1159606,3348591.047159777,0.31,Low
R&D,Feb-24,-,4938182,2093417,7230340.964368699,3.4,Medium
Space Exploration,-,10712100,6472749,4239351,8611145.8399151,14.85,High
R&D,Jul-24,7639934,8437486,-797552,7021258.287736393,,High
Medical Research,Oct-24,2158573,,619684,2569506.181485251,11.5,Medium
Energy Production,Nov-24,-,7600951,-5152245,-,4.29,
Administration,Aug-24,nil,4889952,2338824,6792928.857494175,13.38,Medium
Space Exploration,Apr-24,7950069,7905681,44388,7133393.192839441,2.36,High
,Mar-24,6542275,6798714,-256439,5553999.685547617,7.57,High
Tech Innovation,Oct-24,11695632,7412037,4283595,8924044.825247006,-4.96,High
Tech Innovation,Oct-24,3698307,8334578,-4636271,3111331.355445116,0.12,Low
Medical Research,Nov-24,6245451,,-304152,6360843.020753702,6.35,High
Administration,Mar-24,11339606,3062221,8277385,,9.82,High
Medical Research,Jul-24,10996058,7488647,3507411,10759426.79702984,5.83,High
Defense Systems,Mar-24,6841492,10533354,-3691862,7864311.883301534,3.35,
Defense Systems,,3566612,8513411,-4946799,3487568.644321224,2.72,Low
Medical Research,Apr-24,2539014,10670623,-8131609,2335623.734918552,-4.28,High
Tech Innovation,,2740043,7585319,,3109333.324969791,10.38,Medium
Tech Innovation,Apr-24,7933684,7666068,267616,9220254.361839632,-2.76,Low
Administration,Oct-24,3354181,8558585,-5204404,2539800.1212431,14.94,High
Administration,Mar-24,9635278,nil,2917945,9299564.554034997,14.64,Medium
Defense Systems,Aug-24,9756502,,776289,9482536.647818606,2.05,High
Cybersecurity,Feb-24,11896416,8256778,3639638,11795228.74592076,4.97,Medium
Space Exploration,May-24,5005997,,-4114028,5522751.917213956,-1.9,High
Defense Systems,Aug-24,2890128,-,-,2721981.161474498,7.98,High
Administration,Jul-24,3762696,10800705,-7038009,3210893.929800643,4.98,
Cybersecurity,Feb-24,3315162,7297416,-3982254,2808197.797320497,-3.39,High
Space Exploration,Jul-24,2316179,2907171,-590992,1803139.612716251,-0.71,Low
Tech Innovation,,10029812,4883468,nil,8993159.614949303,-2.66,Low
Defense Systems,Aug-24,8164474,2434270,5730204,7155655.964784041,,Medium
Tech Innovation,Jan-24,9592231,9266514,325717,6970806.606855982,12.21,High
Cybersecurity,Jun-24,8149957,8320037,-170080,9264513.59236196,10.87,High
Space Exploration,May-24,5535565,8511616,-2976051,6063810.831582739,12.33,Low
Defense Systems,Dec-24,2274771,2027948,246823,2349847.007884346,11.34,Medium
Energy Production,Nov-24,6647034,2494079,4152955,7947855.768399441,12.16,Low
Defense Systems,Dec-24,4568382,2485635,2082747,4556236.480169464,1.67,Medium
Administration,Dec-24,6890756,10132726,-3241970,5562708.572443945,4.9,High
Tech Innovation,Aug-24,3744823,7415125,-3670302,4106130.408939772,-0.68,Medium
Medical Research,Oct-24,2853844,,1071946,3414446.338056746,2,High
-,Jul-24,3488474,3742376,-253902,2730683.549783351,12.82,High
Energy Production,Jan-24,4270711,9543280,-5272569,3080694.409940896,6.82,Medium
Defense Systems,Sep-24,,5046791,,8659976.288037604,-0.48,High
Medical Research,Nov-24,,4362174,4886369,8880943.205692897,nil,Low
Medical Research,Apr-24,2731753,4441923,-1710170,2259087.015813103,-4.92,High
R&D,Sep-24,10352633,4940789,5411844,8541755.438117936,4.06,Low
Tech Innovation,Mar-24,6372994,9880105,-3507111,5292344.71388042,3.4,Medium
Cybersecurity,Feb-24,4099750,9493662,-5393912,4666139.623304743,,
nil,Aug-24,5720603,2908984,2811619,6744746.912349402,-3.09,Medium
Administration,Dec-24,2855769,2817213,38556,2448465.384525644,3.45,Medium
Space Exploration,Sep-24,9908367,7491284,2417083,10761625.06445633,-3.61,Low
R&D,Jan-24,8824863,5673562,3151301,8289143.449695825,12.88,Medium
Medical Research,Jun-24,4964772,8617845,-3653073,5148584.164524836,8.19,Low
Defense Systems,Oct-24,4963223,2536243,2426980,5441514.763773383,-0.31,Low
Administration,Jun-24,7136746,8186845,-1050099,8421522.635632114,,Low
Defense Systems,Apr-24,4458097,4401628,56469,3403745.05415785,5.65,High
R&D,May-24,4843593,6162030,-1318437,5451566.939735301,nil,High
Cybersecurity,Jun-24,2314400,6383180,-4068780,1803167.047513795,11.14,Medium
Energy Production,Apr-24,2519707,7263300,-4743593,2809499.736147346,1.69,High
Energy Production,nil,10332497,9981173,351324,11994858.06164788,5.33,Low
Energy Production,Nov-24,11969451,6816232,5153219,-,0.71,Low
Administration,Jan-24,7798063,9174329,-1376266,7515296.353191727,0.36,Low
Defense Systems,Oct-24,,3419809,1215546,4820956.706252921,14.6,-
Medical Research,Oct-24,9145582,3467303,5678279,10723407.24478948,14.89,
Tech Innovation,Mar-24,5083138,6882904,-1799766,4184655.003985567,-0.61,Medium
Tech Innovation,Aug-24,11353547,6040870,5312677,10986092.41528425,12,Medium
Medical Research,Dec-24,7199999,6429639,770360,7379136.262632975,-2.32,High
Space Exploration,Sep-24,5115790,3213436,1902354,5622280.333237547,-0.52,High
Cybersecurity,Oct-24,11566569,5411800,6154769,13841351.96188411,14.47,Medium
Energy Production,Jan-24,11463895,6336397,5127498,,1.17,High
Tech Innovation,Jun-24,4663785,10171758,-5507973,-,7.31,Medium
R&D,Jul-24,-,4778172,5419139,9676408.305627247,9.13,Low
-,Jun-24,6851834,10625046,-3773212,,11.08,High
Energy Production,Jun-24,5800995,5502231,298764,4896605.793346009,6.47,High
Cybersecurity,,10442093,9857986,584107,9019839.902904792,-4.11,Medium
Defense Systems,Apr-24,11858576,3746795,8111781,11542080.43499359,9.69,Medium
Tech Innovation,Jun-24,8655479,2888417,5767062,6301517.863314429,1.92,High
Administration,Aug-24,11579859,1932580,9647279,8560158.951192461,0.45,Medium
Defense Systems,Jul-24,4873928,2015035,2858893,5566001.133617142,14.46,High
Tech Innovation,Nov-24,7351383,10769548,-3418165,5978889.590822491,8.34,High
R&D,Aug-24,10306581,4826068,5480513,8140440.998836144,2.01,Medium
Energy Production,Apr-24,8084652,2941974,5142678,6111654.151018943,-0.63,Medium
R&D,Aug-24,10327815,8247477,2080338,10960888.25811771,11.49,Medium
Space Exploration,May-24,-,7941636,-5481441,2111836.624568763,9.06,Medium
Administration,Sep-24,10390153,3116352,7273801,9283495.19480863,-0.96,High
Medical Research,,10719748,2156067,,8358837.044563598,11.56,High
Tech Innovation,May-24,3047628,8645929,-5598301,2540214.374806849,10.72,
R&D,,6833122,2965245,3867877,7500690.66808757,2.14,Medium
Tech Innovation,May-24,3945645,10099360,-6153715,2979835.107191449,10.12,nil
Energy Production,Jul-24,8606820,9095383,-488563,6634649.250398686,8.49,Low
Energy Production,-,10319534,7088738,3230796,11624270.33622651,0.5,High
Tech Innovation,Feb-24,9344137,3086627,6257510,9664272.59894442,-3.69,Low
Energy Production,Apr-24,2929004,1993543,935461,2685096.420090534,8.89,Low
Space Exploration,Jan-24,8530888,6488581,2042307,7926202.315208291,4.55,Medium
,Jul-24,11863515,10213276,1650239,12040105.53380126,9.86,High
Energy Production,Mar-24,10028999,10622212,-593213,11644599.34052888,-1.84,Medium
Administration,Sep-24,5309169,7584520,-2275351,4393325.270917673,1.47,High
Space Exploration,Dec-24,9964656,7089274,2875382,11572333.85268983,4.35,Medium
Administration,Jun-24,,2770871,4694032,8712843.114857791,0.58,High
Defense Systems,Jun-24,3327350,5691796,-2364446,2578973.493358088,6.5,Low
Energy Production,Sep-24,5805902,7425221,-1619319,4757641.829712679,2.2,High
Medical Research,Sep-24,8028939,4229550,3799389,7600368.725649603,10.99,High
R&D,Aug-24,9791419,2335860,7455559,9169229.286203818,10.7,Low
Energy Production,Mar-24,nil,3349054,-842272,1889510.790843469,11.06,High
Energy Production,Dec-24,5889882,2158504,3731378,5468198.824743388,-1.47,High
Tech Innovation,Oct-24,2348577,2889484,-540907,1954570.91989171,8.46,Medium
R&D,Feb-24,7818275,5703198,,5708835.92748499,11.73,Low
Cybersecurity,Oct-24,10157496,7621370,2536126,9709145.186574709,6.36,Medium
Cybersecurity,May-24,7229685,10618733,-3389048,,-3.42,High
Space Exploration,Sep-24,11840223,6241041,5599182,11645525.37384616,9.09,High
Cybersecurity,Sep-24,6872485,2194389,,7427940.265417584,6.95,Medium
Energy Production,Feb-24,11774247,2006212,9768035,13808326.09705296,1.93,Medium
Cybersecurity,Dec-24,2173180,10297053,-8123873,2457103.491699514,0.72,Low
Cybersecurity,Nov-24,6131089,5206084,925005,7334658.622790365,5.81,Low
R&D,Aug-24,3080893,7440139,-4359246,2499339.188769889,1.54,Low
,Sep-24,3883300,7145676,-3262376,3211738.451606081,-2.76,High
R&D,Aug-24,5711846,2724555,2987291,nil,1.78,Medium
Medical Research,Nov-24,8092196,10931685,-2839489,8750812.916603465,6.66,High
Energy Production,Oct-24,8673692,10735166,-2061474,9670607.666236755,9.71,-
Tech Innovation,Oct-24,9918489,,-427161,9268197.190382551,11.52,High
Space Exploration,Sep-24,4020721,7506403,-3485682,2890578.858981627,-1.77,Medium
Medical Research,Oct-24,3605486,5741992,-2136506,3454902.237938181,10.4,Low
R&D,Nov-24,6605221,,96017,4708985.892188922,0.18,Medium
Medical Research,Jun-24,,7451622,-4496634,2880389.749897651,-1.96,Medium
R&D,Nov-24,2754924,3491132,-736208,3153087.900831718,-2.48,Medium
Space Exploration,Aug-24,2420298,6900075,-4479777,2103021.669769819,3.03,Low
Administration,Oct-24,3569532,6437469,-2867937,3913887.292817716,-0.17,High
Administration,Aug-24,11071914,2266082,8805832,11832795.18288526,4.33,Medium
Space Exploration,,9842783,1820779,8022004,9822736.464293094,-2.01,
-,Jun-24,7605874,,2763154,6567531.335527868,10.99,Low
Energy Production,,,6465216,3093667,8001819.866934613,4.09,Medium
Medical Research,May-24,11457685,6165984,5291701,13109547.64851612,4.9,Low
-,Feb-24,7122293,7188136,-65843,6044606.617462792,14.62,Medium
R&D,Jun-24,11544934,7669044,3875890,12158408.95888296,4.43,Medium
Cybersecurity,Jun-24,8143582,6143108,2000474,8362468.090574334,9.21,Low
R&D,Feb-24,2629247,,-4992438,3043261.172746656,-,nil
Energy Production,Sep-24,2356573,8167673,-5811100,2661888.29991977,1.28,Low
Defense Systems,Feb-24,8697234,9660186,-,7831270.267850155,11.56,High
Defense Systems,May-24,11853444,5681558,6171886,13288573.3309328,-1.33,Low
Cybersecurity,Aug-24,3225405,7741138,-4515733,3069358.012399951,5.13,Medium
Administration,Apr-24,4272776,8926558,-4653782,3455440.537657253,5.44,High
Medical Research,Jun-24,11651692,8670718,2980974,13263206.32400766,7.55,High
R&D,Feb-24,7950451,5186091,2764360,,-,Medium
Space Exploration,Apr-24,,2939566,8148778,11608635.97938498,9.01,High
Space Exploration,,5150238,2129821,3020417,5105130.243735482,3.4,Low
R&D,Jul-24,9533661,1822448,7711213,10234931.45686231,-2.09,Low
R&D,Mar-24,3339022,8583376,-5244354,2831801.09654749,8.47,High
Administration,Jul-24,6965590,7787063,-821473,5480237.595462576,7.22,High
Tech Innovation,Jul-24,10780285,8386784,2393501,9548225.559807617,-1.58,Medium
,May-24,4109648,5854891,-1745243,3921695.385455433,10.73,Low
Space Exploration,May-24,5079576,5163135,-83559,4008537.844460434,4.68,High
R&D,Nov-24,7152562,9927026,-2774464,6434937.070864242,2.64,Medium
Tech Innovation,Feb-24,11981845,7776752,nil,10721067.58191132,12.97,
R&D,Aug-24,7041236,5507865,1533371,,10.14,Medium
Cybersecurity,,7143434,1757104,5386330,6533337.524253624,3.73,Medium
Administration,Oct-24,5565959,5390189,175770,5198641.019009874,12.41,Low
Administration,Jul-24,8417079,6149404,2267675,7603675.789540147,14.74,Low
Cybersecurity,Oct-24,4903317,6946614,-2043297,3504382.130648218,0.63,Low
Energy Production,Oct-24,,9168684,592098,11514516.79748918,,Low
Tech Innovation,Mar-24,4285572,8690429,-4404857,3303535.834187292,-0.06,Low
Space Exploration,,8958887,2891488,6067399,7774623.789468137,11.46,High
Administration,Oct-24,6749644,7178807,-429163,,7.76,High
R&D,Dec-24,8583520,9390319,-806799,6692181.377346806,3.92,Medium
Defense Systems,,6801224,4165030,2636194,,6.8,High
R&D,May-24,8925450,3052065,5873385,8538317.220640935,5.16,Medium
Energy Production,Jul-24,nil,4765553,3574097,6044112.986220889,5.34,Medium
Energy Production,Nov-24,4914058,7673390,-2759332,4441800.250484591,-2.55,Medium
Administration,Aug-24,8971360,8645297,326063,6457383.258789838,11.49,Low
Administration,Feb-24,6325027,4812878,1512149,7045171.877162114,3.06,Low
Cybersecurity,Nov-24,7930957,4504024,3426933,9122350.890358401,,High
R&D,May-24,7435203,2973113,4462090,6159863.856030229,10.92,Medium
Space Exploration,Jan-24,4152428,4190207,-37779,4117598.386329101,-2.37,High
R&D,Feb-24,,7699184,558689,6864926.179322222,8.17,Medium
Tech Innovation,Oct-24,7540964,nil,1763439,8041392.043079582,1.57,Medium
